VDOT	1000	1500	3000	5000	10000	15000	21097	25000	42195
58.5 	---- 	4:42 	10:03 	17:25 	36:08 	55:30 	1:19:53 	1:35:47 	2:46:56
59.0 	---- 	4:39 	9:59 	17:18 	35:53 	55:06 	1:19:17 	1:35:04 	2:45:44
59.5 	---- 	4:37 	9:54 	17:10 	35:37 	54:42 	1:18:43 	1:34:23 	2:44:33
60.0 	---- 	4:35 	9:50 	17:03 	35:22 	54:18 	1:18:09 	1:33:42 	2:43:22
60.5 	---- 	4:33 	9:45 	16:56 	35:07 	53:55 	1:17:35 	1:33:02 	2:42:13
61.0 	---- 	4:31 	9:41 	16:48 	34:52 	53:32 	1:17:02 	1:32:22 	2:41:05
61.5 	---- 	4:29 	9:37 	16:41 	34:38 	53:10 	1:16:29 	1:31:43 	2:39:58
62.0 	---- 	4:27 	9:33 	16:34 	34:23 	52:47 	1:15:57 	1:31:04 	2:38:52
62.5 	---- 	4:25 	9:29 	16:27 	34:09 	52:26 	1:15:26 	1:30:26 	2:37:47
63.0 	---- 	4:24 	9:25 	16:21 	33:55 	52:04 	1:14:54 	1:29:49 	2:36:43
63.5 	---- 	4:22 	9:21 	16:14 	33:42 	51:43 	1:14:24 	1:29:12 	2:35:40
64.0 	---- 	4:20 	9:17 	16:07 	33:28 	51:22 	1:13:54 	1:28:36 	2:34:37
64.5 	---- 	4:18 	9:13 	16:01 	33:15 	51:01 	1:13:24 	1:28:00 	2:33:36
65.0 	---- 	4:16 	9:09 	15:55 	33:02 	50:41 	1:12:54 	1:27:25 	2:32:35
65.5 	---- 	4:15 	9:06 	15:48 	32:49 	50:21 	1:12:25 	1:26:50 	2:31:36
66.0 	---- 	4:13 	9:02 	15:42 	32:36 	50:02 	1:11:57 	1:26:16 	2:30:37
66.5 	---- 	4:11 	8:59 	15:36 	32:24 	49:42 	1:11:29 	1:25:42 	2:29:38
67.0 	---- 	4:10 	8:55 	15:30 	32:12 	49:23 	1:11:01 	1:25:09 	2:28:41
67.5 	---- 	4:08 	8:51 	15:24 	31:59 	49:04 	1:10:34 	1:24:36 	2:27:44
68.0 	---- 	4:06 	8:48 	15:18 	31:47 	48:46 	1:10:07 	1:24:04 	2:26:49
68.5 	---- 	4:05 	8:45 	15:12 	31:36 	48:27 	1:09:40 	1:23:32 	2:25:54
69.0 	---- 	4:03 	8:41 	15:07 	31:24 	48:09 	1:09:14 	1:23:00 	2:24:59
69.5 	---- 	4:02 	8:38 	15:01 	31:12 	47:51 	1:08:48 	1:22:29 	2:24:06
70.0 	---- 	4:00 	8:35 	14:56 	31:01 	47:34 	1:08:23 	1:21:59 	2:23:13
70.5 	---- 	3:59 	8:31 	14:50 	30:50 	47:16 	1:07:58 	1:21:29 	2:22:20
71.0 	---- 	3:57 	8:28 	14:45 	30:39 	46:59 	1:07:33 	1:20:59 	2:21:29
71.5 	---- 	3:56 	8:25 	14:39 	30:28 	46:42 	1:07:08 	1:20:29 	2:20:38
72.0 	---- 	3:54 	8:22 	14:34 	30:17 	46:26 	1:06:44 	1:20:00 	2:19:48
72.5 	---- 	3:53 	8:19 	14:29 	30:06 	46:09 	1:06:20 	1:19:32 	2:18:58
73.0 	---- 	3:52 	8:16 	14:24 	29:56 	45:53 	1:05:57 	1:19:03 	2:18:09
73.5 	---- 	3:50 	8:13 	14:19 	29:46 	45:37 	1:05:33 	1:18:35 	2:17:21
74.0 	---- 	3:49 	8:10 	14:14 	29:35 	45:21 	1:05:10 	1:18:08 	2:16:33
74.5 	---- 	3:48 	8:07 	14:09 	29:25 	45:06 	1:04:48 	1:17:41 	2:15:46
75.0 	---- 	3:46 	8:04 	14:04 	29:15 	44:50 	1:04:25 	1:17:14 	2:14:59
75.5 	---- 	3:45 	8:01 	13:59 	29:05 	44:35 	1:04:03 	1:16:47 	2:14:13
76.0 	---- 	3:44 	7:59 	13:54 	28:56 	44:20 	1:03:42 	1:16:21 	2:13:28
76.5 	---- 	3:42 	7:56 	13:49 	28:46 	44:05 	1:03:20 	1:15:55 	2:12:43
77.0 	---- 	3:41 	7:53 	13:45 	28:37 	43:50 	1:02:59 	1:15:30 	2:11:59
77.5 	---- 	3:40 	7:50 	13:40 	28:27 	43:36 	1:02:38 	1:15:04 	2:11:15
78.0 	---- 	3:39 	7:48 	13:36 	28:18 	43:22 	1:02:17 	1:14:40 	2:10:31
78.5 	---- 	3:37 	7:45 	13:31 	28:09 	43:07 	1:01:57 	1:14:15 	2:09:49
79.0 	---- 	3:36 	7:42 	13:27 	28:00 	42:54 	1:01:36 	1:13:51 	2:09:06
79.5 	---- 	3:35 	7:40 	13:22 	27:51 	42:40 	1:01:16 	1:13:27 	2:08:25
80.0 	---- 	3:34 	7:37 	13:18 	27:42 	42:26 	1:00:57 	1:13:03 	2:07:43
80.5 	---- 	3:33 	7:35 	13:14 	27:33 	42:13 	1:00:37 	1:12:39 	2:07:02
81.0 	---- 	3:32 	7:32 	13:09 	27:25 	41:59 	1:00:18 	1:12:16 	2:06:22
81.5 	---- 	3:31 	7:30 	13:05 	27:16 	41:46 	59:59 	1:11:53 	2:05:42
82.0 	---- 	---- 	7:28 	13:01 	27:08 	41:33 	59:40 	1:11:31 	2:05:03
82.5 	---- 	---- 	7:25 	12:57 	26:59 	41:20 	59:21 	1:11:08 	2:04:24
83.0 	---- 	---- 	7:23 	12:53 	26:51 	41:08 	59:03 	1:10:46 	2:03:45
83.5 	---- 	---- 	7:20 	12:49 	26:43 	40:55 	58:45 	1:10:24 	2:03:07
84.0 	---- 	---- 	7:18 	12:45 	26:35 	40:43 	58:27 	1:10:03 	2:02:29
84.5 	---- 	---- 	7:16 	12:41 	26:27 	40:30 	58:09 	1:09:41 	2:01:52
85.0 	---- 	---- 	7:14 	12:37 	26:19 	40:18 	57:51 	1:09:20 	2:01:15
