VDOT    L       M       T400    T100    I400    I1000   I1200   I1600   R200    R400    R800
58.5 	4:30 	3:57 	89.9 	3:45 	82.4 	3:26 	4:07 	---- 	38.2 	76.4 	----
59.0 	4:29 	3:56 	89.3 	3:43 	81.8 	3:25 	4:05 	---- 	37.9 	75.8 	----
59.5 	4:27 	3:54 	88.7 	3:42 	81.3 	3:23 	4:04 	---- 	37.6 	75.3 	----
60.0 	4:25 	3:52 	88.1 	3:40 	80.7 	3:22 	4:02 	---- 	37.4 	74.7 	2:29
60.5 	4:23 	3:51 	87.5 	3:39 	80.2 	3:20 	4:00 	---- 	37.1 	74.2 	2:28
61.0 	4:21 	3:49 	86.9 	3:37 	79.6 	3:19 	3:59 	---- 	36.8 	73.6 	2:27
61.5 	4:20 	3:47 	86.3 	3:36 	79.1 	3:18 	3:57 	---- 	36.6 	73.1 	2:26
62.0 	4:18 	3:46 	85.7 	3:34 	78.6 	3:16 	3:56 	---- 	36.3 	72.6 	2:25
62.5 	4:16 	3:44 	85.2 	3:33 	78.1 	3:15 	3:54 	---- 	36.0 	72.1 	2:24
63.0 	4:15 	3:43 	84.6 	3:32 	77.6 	3:14 	3:53 	---- 	35.8 	71.6 	2:23
63.5 	4:13 	3:41 	84.1 	3:30 	77.1 	3:13 	3:51 	---- 	35.5 	71.1 	2:22
64.0 	4:11 	3:40 	83.6 	3:29 	76.6 	3:11 	3:50 	---- 	35.3 	70.6 	2:21
64.5 	4:10 	3:38 	83.0 	3:28 	76.1 	3:10 	3:48 	---- 	35.1 	70.1 	2:20
65.0 	4:08 	3:37 	82.5 	3:26 	75.6 	3:09 	3:47 	---- 	34.8 	69.6 	2:19
65.5 	4:07 	3:36 	82.0 	3:25 	75.2 	3:08 	3:46 	---- 	34.6 	69.2 	2:18
66.0 	4:05 	3:34 	81.5 	3:24 	74.7 	3:07 	3:44 	4:59 	34.4 	68.7 	2:17
66.5 	4:04 	3:33 	81.0 	3:23 	74.3 	3:06 	3:43 	4:57 	34.1 	68.3 	2:17
67.0 	4:02 	3:31 	80.5 	3:21 	73.8 	3:05 	3:41 	4:55 	33.9 	67.8 	2:16
67.5 	4:01 	3:30 	80.0 	3:20 	73.4 	3:03 	3:40 	4:53 	33.7 	67.4 	2:15
68.0 	3:59 	3:29 	79.6 	3:19 	72.9 	3:02 	3:39 	4:52 	33.5 	66.9 	2:14
68.5 	3:58 	3:27 	79.1 	3:18 	72.5 	3:01 	3:37 	4:50 	33.2 	66.5 	2:13
69.0 	3:57 	3:26 	78.6 	3:17 	72.1 	3:00 	3:36 	4:48 	33.0 	66.1 	2:12
